gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,52-CD8_S38_L002,53-CD8_S40_L002,SRR6927755,SRR6927757
ENSMUSG00000113948,Rpl17-ps3,100040745,"ribosomal protein L17, pseudogene 3",10796.017798117236,-8.669826859839114,0.29159547753256637,-29.73237765277357,2.930612993206367e-194,2.802838266702569e-190,58,91,10959,22198
ENSMUSG00000046330,Rpl37a,19981,ribosomal protein L37a,7008.290924870364,-7.407194340365231,0.2641284259115014,-28.04391202803396,4.7393014279106795e-173,1.5108892952179245e-169,105,126,7742,13024
ENSMUSG00000058558,Rpl5,100503670,ribosomal protein L5,22227.057287748496,-6.498027293585885,0.24170067110875187,-26.8846059209415,3.324396085582912e-159,7.948631040628742e-156,759,607,21873,46332
ENSMUSG00000029580,Actb,11461,"actin, beta",32691.363896675626,-5.443788456163106,0.20839730975685994,-26.12216281733411,2.042211336430762e-150,3.906341844324762e-147,1933,2199,33037,64808
ENSMUSG00000062353,Gm15772,100034726,ribosomal protein L26 pseudogene,2916.938225871551,-7.709411687941553,0.2956547725064171,-26.07572210854206,6.874788086056704e-150,1.0958412209174386e-146,38,40,3176,5529
ENSMUSG00000025508,Rplp2,67186,"ribosomal protein, large P2",4267.790015903348,6.738344790698954,0.27401758848155777,24.590920707093463,1.5798204667047581e-133,2.158486134794901e-130,11055,12740,44,76
ENSMUSG00000063457,Rps15,20054,ribosomal protein S15,18327.219545006952,-8.309190916082938,0.3561265387476595,-23.33213061094158,2.093004122292624e-120,2.502186428200832e-117,202,121,21672,31342
ENSMUSG00000119584,Rn18s,19791,18S ribosomal RNA,767134.1283940637,4.410338846789788,0.19666444633046934,22.425704946072358,2.2096769597785815e-111,2.3481500492580395e-108,2038344,2082376,35735,69643
ENSMUSG00000031818,Cox4i1,12857,cytochrome c oxidase subunit 4I1,2153.750415338071,-6.305525012800789,0.29120185179877106,-21.653450944254605,5.639543135478242e-104,5.3936590547713907e-101,86,65,2292,4122
ENSMUSG00000090137,Uba52,22186,ubiquitin A-52 residue ribosomal protein fusion product 1,23317.88178184557,-4.723846268066037,0.23900822830266732,-19.764366698220986,6.035096271887067e-87,5.247241885847992e-84,2189,2597,24911,42112
ENSMUSG00000053436,Mapk14,26416,mitogen-activated protein kinase 14,1365.1728167243562,-5.432658069534517,0.28937566446446444,-18.773721278838398,1.2389510244678303e-78,9.874439665008608e-76,73,101,1332,2803
ENSMUSG00000037742,Eef1a1,13627,eukaryotic translation elongation factor 1 alpha 1,73314.07446896534,-6.6431072219828495,0.35866687458697993,-18.521663673660047,1.3810277558584211e-76,1.0160114966946108e-73,2655,1414,73902,149539
