gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,61-CD8_S58_L002,62-CD8_S60_L002,63-CD8_S62_L002,57-CD8-D_S48_L002,58-CD8-D_S52_L002,60-CD8-D_S56_L002
ENSMUSG00000091971,Hspa1a,193740,heat shock protein 1A,2669.2063612437723,3.8370005878124314,0.2890517534526602,13.274441486620633,3.2569032120747624e-40,2.967364516521316e-36,335,267,599,5135,5248,2977
ENSMUSG00000090877,Hspa1b,15511,heat shock protein 1B,5613.480340933517,3.347274481570797,0.27296934251114124,12.262455742384983,1.4406665965825554e-34,6.562956680731831e-31,739,1221,1446,10722,10777,5836
ENSMUSG00000102976,Zc3h11a,70579,zinc finger CCCH type containing 11A,1244.7861742347873,-2.125928085647767,0.21030091810802828,-10.10898147651315,5.040555926676867e-24,1.5308168349317647e-20,2094,2267,2492,294,471,510
ENSMUSG00000015656,Hspa8,15481,heat shock protein 8,35353.50106261797,0.9404281587114276,0.0955921341274092,9.837924085448135,7.728910470835225e-23,1.7604525824944934e-19,27579,25594,28804,38965,45111,42306
ENSMUSG00000100801,Gm15459,727711,heat shock protein 8 pseudogene,31449.514590277307,0.9726396171929269,0.10209378486268111,9.526922902321168,1.6201426449538573e-21,2.952223927634919e-18,24402,21359,26243,32553,41220,39833
ENSMUSG00000029657,Hsph1,15505,heat shock 105kDa/110kDa protein 1,2636.861709512828,1.8184786433170377,0.19613237397974093,9.271690371243217,1.8321886413546805e-20,2.7821784518970826e-17,1006,1571,1339,3479,3963,3725
ENSMUSG00000008348,Ubc,22190,ubiquitin C,28159.333466649245,0.7337831598965053,0.09149067892152737,8.02030511245719,1.0548282130180786e-15,1.372934264115388e-12,22028,22576,27093,29534,31976,34327
ENSMUSG00000028410,Dnaja1,15502,DnaJ heat shock protein family (Hsp40) member A1,4197.627344993699,1.0799704701815727,0.1469225119033748,7.350612620153316,1.9730046083841686e-13,2.24700562337352e-10,2563,3280,3255,4574,5458,5505
ENSMUSG00000048878,Hexim1,192231,hexamethylene bis-acetamide inducible 1,2502.9196749193684,0.9225224987405153,0.12580355602167795,7.333039922826585,2.2498987682969803e-13,2.2776475197726432e-10,1948,1855,2046,2584,2987,3386
ENSMUSG00000009013,Dynll1,56455,dynein light chain LC8-type 1,3594.3580305054556,0.8270417496738848,0.11693793906856638,7.07248439865996,1.5218409910680612e-12,1.3865493269621106e-9,2793,2789,3193,3626,4325,4601
