gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,57-CD8-B_S47_L002,58-CD8-B_S51_L002,60-CD8-B_S55_L002,SRR6927755,SRR6927757
ENSMUSG00000025508,Rplp2,67186,"ribosomal protein, large P2",3427.980901245323,6.384225351778523,0.24395239602805094,26.16996371310258,5.841514768864737e-151,4.941337342982681e-147,7029,5273,7427,44,76
ENSMUSG00000063457,Rps15,20054,ribosomal protein S15,12596.119426019943,-8.576672106047008,0.3545301991422728,-24.191654552410057,2.7234554444509374e-129,1.151885480230524e-125,93,51,152,21672,31342
ENSMUSG00000003545,Fosb,14282,FBJ osteosarcoma oncogene B,12670.92487986113,8.581557508009064,0.3549946611430381,24.173764981077543,4.2007245733847435e-129,1.1844643055420515e-125,21936,15333,38032,31,69
ENSMUSG00000029580,Actb,11461,"actin, beta",22438.951961052917,-6.028311102311917,0.25277593540360804,-23.84843752110538,1.051155341492583e-125,2.22293075842144e-122,904,699,1357,33037,64808
ENSMUSG00000119584,Rn18s,19791,18S ribosomal RNA,1714017.165178925,5.574346796755755,0.24251174559370894,22.985883768676153,6.452541777276897e-117,1.0916410178797055e-113,3050273,3047451,3502720,35735,69643
ENSMUSG00000113948,Rpl17-ps3,100040745,"ribosomal protein L17, pseudogene 3",7408.840107205877,-9.355610470827175,0.41647537403287477,-22.4637783027447,9.385773876890233e-112,1.323237687076908e-108,16,36,43,10959,22198
ENSMUSG00000035202,Lars2,102436,"leucyl-tRNA synthetase, mitochondrial",79319.28396428353,6.305601676914681,0.29686260214690646,21.240808479453634,4.009301177723198e-100,4.844954094622933e-97,170477,140968,136208,1183,1582
ENSMUSG00000037742,Eef1a1,13627,eukaryotic translation elongation factor 1 alpha 1,50811.20869313739,-6.237592761870315,0.29885472040049116,-20.87165547698695,9.691865558741493e-97,1.0247936345174286e-93,1655,1980,1900,73902,149539
ENSMUSG00000021250,Fos,14281,FBJ osteosarcoma oncogene,15866.789402442279,8.013617719535976,0.4440430577675784,18.046938420396327,8.33867257886436e-73,7.83742570495707e-70,25219,22100,45491,89,68
ENSMUSG00000068240,Gm11808,666586,ubiquitin A-52 residue ribosomal protein fusion product 1 pseudogene,18762.00182747885,9.714189155099968,0.5407574842456538,17.964040143893843,3.7266848777189436e-72,3.152402738062454e-69,45634,26659,37723,39,14
ENSMUSG00000058558,Rpl5,100503670,ribosomal protein L5,15174.547244132242,-8.011721661297752,0.4531170512615971,-17.681351074719018,5.838029275897177e-70,4.115324137067852e-67,228,53,265,21873,46332
ENSMUSG00000059070,Rpl18,19899,ribosomal protein L18,4299.096369654605,-5.555273109881368,0.32866191110769977,-16.902698250485592,4.297816951465298e-64,2.7965564301880736e-61,377,209,186,6300,12257
ENSMUSG00000020460,Rps27a,78294,ribosomal protein S27A,3682.3413104065835,3.4362051102467626,0.20481579151625165,16.77705163653901,3.5923441383860807e-63,2.1705456476148466e-60,7268,5571,7201,294,686
ENSMUSG00000030220,Arhgdib,11857,"Rho, GDP dissociation inhibitor (GDI) beta",7179.045747670139,-3.1797332956874502,0.1975212742379105,-16.098181362770696,2.627135075239246e-58,1.4815290400965854e-55,2408,1510,2037,8349,20114
ENSMUSG00000012848,Rps5,20103,ribosomal protein S5,6699.958651515149,-4.384686159706734,0.27265565000038117,-16.081405830763472,3.444722986561035e-58,1.8211819839574874e-55,1009,554,1107,10892,15421
ENSMUSG00000011877,Git1,216963,GIT ArfGAP 1,908.1820244039276,6.104183294712705,0.3797687085896095,16.073423525025294,3.918351591330967e-58,1.9497256535922734e-55,2399,1210,1707,11,29
ENSMUSG00000030432,Rpl28,19943,ribosomal protein L28,9868.175825362614,-4.552775125703002,0.2937350743566266,-15.499596483923584,3.4907757934002084e-54,1.640470690909576e-51,1255,654,1652,14936,25412
ENSMUSG00000062006,Rpl34,68436,ribosomal protein L34,4107.415274140327,-5.099605129173898,0.3308720493765566,-15.412619889721098,1.3464072459822333e-53,5.994346786191427e-51,434,195,403,7292,8810
ENSMUSG00000052684,Jun,16476,jun proto-oncogene,9813.97908221776,6.344304218361272,0.4145254657835968,15.304980615288228,7.082309130631749e-53,2.9954626468006984e-50,19656,13066,24684,174,130
ENSMUSG00000092837,Rpph1,85029,ribonuclease P RNA component H1,973.8873906154228,5.573939776510252,0.37604941339842207,14.822359982263013,1.0502861865624494e-49,4.230652786729409e-47,1627,1690,2153,24,34
ENSMUSG00000024190,Dusp1,19252,dual specificity phosphatase 1,5766.9699877945,5.533693949894801,0.37403015863188155,14.794780105796313,1.5830083163530794e-49,6.08666697637759e-47,9909,7909,15549,163,164
ENSMUSG00002076161,Rn7sk,19817,"RNA, 7SK, nuclear",5346.9318380667,5.516024606128432,0.37787581165836953,14.597453544116675,2.9153267413312046e-48,1.0722064741269852e-45,8004,11296,9766,130,199
ENSMUSG00000035242,Oaz1,18245,ornithine decarboxylase antizyme 1,3566.8508338816005,3.9641285998077627,0.2902138264489369,13.659337490266855,1.7759209742855993e-42,6.259381467284118e-40,8657,4211,7522,169,533
ENSMUSG00000017421,Zfp207,22680,zinc finger protein 207,1325.5426122523031,-3.1088484307721584,0.2304934372156257,-13.487795871011473,1.8453521558277652e-41,6.243933554458827e-39,450,254,458,1641,3461
ENSMUSG00000067274,Rplp0,11837,"ribosomal protein, large, P0",23715.493599998084,-2.7757955412497117,0.20636864200834826,-13.450665344483015,3.051144795840669e-41,9.9267822415447e-39,9185,7203,8066,28336,59470
ENSMUSG00000046330,Rpl37a,19981,ribosomal protein L37a,4856.004732137963,-6.6341666859923345,0.49542265113679196,-13.390923226400005,6.832611080563552e-41,2.140631745573596e-38,59,141,205,7742,13024
ENSMUSG00000090877,Hspa1b,15511,heat shock protein 1B,10029.015993288978,7.8836104788101355,0.6159531802815935,12.799041763541197,1.6598675182638293e-37,5.014578334640618e-35,28643,12240,18808,74,22
ENSMUSG00000060938,Rpl26,19941,ribosomal protein L26,1785.6321033308714,-6.006654212928648,0.47085539318419684,-12.75689797733477,2.8533928739385767e-37,8.323051834705662e-35,68,85,74,3666,3011
ENSMUSG00000003032,Klf4,16600,Kruppel-like factor 4 (gut),1564.5248940405388,6.661967461264852,0.5257377847885617,12.67165429995511,8.49047131958692e-37,2.3940298964128583e-34,2497,2134,4498,25,14
ENSMUSG00000061577,Adgrg5,382045,adhesion G protein-coupled receptor G5,1950.926093338766,2.6027985716005744,0.20637831055719025,12.611783498825103,1.818310441730227e-36,4.961641298901932e-34,4008,2428,3911,271,609
ENSMUSG00000006333,Rps9,76846,ribosomal protein S9,4718.746764764169,-3.4103789677505834,0.27631531989994595,-12.342344857988637,5.357258860281946e-35,1.4161578968476558e-32,1164,867,1370,7435,9727
ENSMUSG00000026358,Rgs1,50778,regulator of G-protein signaling 1,1476.7982182832334,6.02188135309283,0.4928269571312935,12.219058365122157,2.4591657767629958e-34,6.303661607769146e-32,4524,1455,2905,33,26
ENSMUSG00000073102,Drc1,381738,dynein regulatory complex subunit 1,434.957859257157,4.634091419812912,0.37952213669725116,12.210332340928973,2.7376859547208733e-34,6.811201614995254e-32,934,716,781,17,34
ENSMUSG00000052837,Junb,16477,jun B proto-oncogene,20784.6223493577,3.6955606498191993,0.30441575563973994,12.139846842200576,6.494749095792121e-34,1.5696880743230158e-31,41201,24295,52153,1851,2351
